start,end,text,progress,fuzzy,locked,ends_today,category,description,hyperlink,alert,icon,default_color,milestone,add_lifespan_org,add_start_vCh,add_end_vCh,add_start_end_ok,add_mods,add_ok
-624,-546,Thales von Milet,,True,,,Antike - Vorsokratiker 600–400 v. Chr.,,,,,,,um 624–546 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-610,-547,Anaximander,,True,,,Antike - Vorsokratiker 600–400 v. Chr.,,,,,,,um 610–547 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-585,-525,Anaximenes,,True,,,Antike - Vorsokratiker 600–400 v. Chr.,,,,,,,um 585–525 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-499,-428,Diogenes von Apollonia,,True,,,Antike - Vorsokratiker 600–400 v. Chr.,,,,,,,um 499–428 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-570,-470,Xenophanes,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Eleaten,,,,,,,um 570–470 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-515,-445,Parmenides,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Eleaten,,,,,,,um 515–445 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-490,-430,Zenon von Elea,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Eleaten,,,,,,,um 490–430 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-490,-430,Melissos von Elea,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Eleaten,,,,,,,um 490–430 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-540,-480,Heraklit,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Andere Philosophen der Vorsokratik,,,,,,,um 540–480 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-499,-428,Anaxagoras,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Andere Philosophen der Vorsokratik,,,,,,,um 499–428 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-494,-434,Empedokles,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Andere Philosophen der Vorsokratik,,,,,,,um 494–434 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-580,-500,Pythagoras,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 580–500 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-550,-485,Alkmaion,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 500 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}$, fuzzy+akme: \d{1,4}$in add_mods",ok
-550,-485,Hippasos von Metapont,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 500 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}$, fuzzy+akme: \d{1,4}$in add_mods",ok
-470,-399,Philolaos von Kroton,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 470–399 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-428,-347,Archytas von Tarent,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 428–347 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-400,-335,Hiketas von Syrakus,,True,,,Antike - Vorsokratiker 600–400 v. Chr. - Pythagoreer,,,,,,,um 400–335 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
